原路径,建议新路径,处理方式,迁移理由,是否需要建立索引,是否需要保留原始副本,是否可能破坏其他文件引用,分类置信度,备注
.gitignore,.gitignore,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,否,0.99,
AGENTS.md,AGENTS.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md
CURRENT_ARCHIVE.md,CURRENT_ARCHIVE.md,保留原位,推定为季度结案/当前快照，状态为当前状态（仓库指针，晚于玩家口述前已过时）,是,视引用决定,是,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | README.md | data/archive_manifest.json
README.md,README.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: modules/knowledge_base.py | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | 大明档案/国策路线/国策路线.md
config/config.example.json,config/config.example.json,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,否,0.99,配置样例，保留原位
data/appointments/CZ11-AUTUMN-PERSONNEL-PLAN-1.json,data/appointments/CZ11-AUTUMN-PERSONNEL-PLAN-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/strategy/CZ11-AUTUMN-NATIONAL-POLICY-1.json
data/appointments/CZ11-SUMMER-NATIONAL-OFFICIAL-ROSTER-1.json,data/appointments/CZ11-SUMMER-NATIONAL-OFFICIAL-ROSTER-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,引用示例: AGENTS.md | README.md | 大明档案/朝臣档案/崇祯11年夏全国军政要员名册复核.md
data/appointments/CZ11-SUMMER-PERSONNEL-1.json,data/appointments/CZ11-SUMMER-PERSONNEL-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,引用示例: AGENTS.md | README.md
data/appointments/崇祯10年秋六部侍郎荐举与堂官补实令.json,data/appointments/崇祯10年秋六部侍郎荐举与堂官补实令.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,否,0.93,
data/appointments/崇祯11年春六部正式任命与堂官到任考成.json,data/appointments/崇祯11年春六部正式任命与堂官到任考成.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,引用示例: data/appointments/崇祯10年秋六部侍郎荐举与堂官补实令.json
data/archive_manifest.json,data/archive_manifest.json,保留原位,推定为季度结案/当前快照，状态为当前状态（仓库指针，晚于玩家口述前已过时）,是,视引用决定,是,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | CURRENT_ARCHIVE.md | README.md
data/companies/CZ11-SPRING-FOUR-CORPORATIONS-1.json,data/companies/CZ11-SPRING-FOUR-CORPORATIONS-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,否,0.93,
data/companies/CZ11-SUMMER-FOUR-CORPORATIONS-1.json,data/companies/CZ11-SUMMER-FOUR-CORPORATIONS-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | README.md | data/archive_manifest.json
